Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Federal Fund Rate
20080701,11344.64,11183.43,299589749,-301.153786,-132.2929162,224.47,11910.8431,11692.866,-460.1,11468.806,-925.09,-7.516565304,-0.053769787,-11847782.3,72.34,2.11
20080702,11382.34,11214.37,230692051,-318.7609754,-114.9277805,219.75,11844.6209,11611.511,-591.92,11349.542,-1053.57,-8.587196432,-0.070262263,-14227548.89,71.99,1.95
20080703,11216,11157.21,148755195,-323.0974233,-99.65053708,180.27,11791.66081,11534.056,-523.29,11316.566,-871.76,-7.168902083,-0.046792578,-13366107.16,72.73,1.92
20080707,11289.19,11120.74,248235090,-327.3264075,-87.63753042,278.37,11738.35597,11472.983,-114.55,11293.656,-831.13,-6.889859895,-0.05154378,-12609377.12,72.71,1.99
20080708,11225.03,11174.88,271497765,-314.7641996,-64.63711344,216.25,11704.62779,11427.168,34.2,11300.496,-458.48,-3.871417727,-0.035843532,-9533880.582,72.96,1.97
20080709,11381.93,11141.99,227104879,-320.2225929,-74.93868645,276.25,11651.56228,11361.169,-234.82,11253.532,-694.92,-5.868087104,-0.056247846,-11440700.24,72.59,1.99
20080710,11148.01,11086.95,248007342,-314.3420452,-78.86191473,183.35,11611.32016,11302.888,13.51,11256.234,-578.41,-4.898695144,-0.019592401,-12637335.64,72.49,2.01
20080711,11226.17,10977.68,275005893,-316.4016498,-100.8574694,263.39,11562.67443,11267.6,-188,11218.634,-711.29,-6.021844202,-0.021678031,-11006215.96,71.91,1.97
20080714,11103.64,11003.65,205356456,-318.0272471,-104.5843418,235.39,11514.34258,11238.468,-233.35,11183.28,-398.23,-3.476952736,-0.025975308,-12798111.05,71.96,2.06
20080715,11050.8,10827.71,331391295,-323.0675043,-154.7521442,295.96,11461.78995,11199.721,-269.42,11098.946,-383.97,-3.384036149,-0.036874926,-13965161.5,71.7,2.16
20080716,10961.89,10918.33,307589159,-301.2586175,-71.45065357,325.84,11440.59853,11185.423,-144.93,11117.314,-110.73,-0.975593854,0.002114904,-8934592.549,72.06,1.95
20080717,11238.39,11209.56,335260310,-264.1956022,92.99341658,237.1,11441.17581,11208.538,299.22,11160.842,64.4,0.565792734,0.013813636,-6694589.503,72.05,2.03
20080718,11436.56,11381.93,378614493,-228.1654267,147.5273192,128.89,11446.45145,11229.341,267.55,11240.048,281.06,2.505993932,0.02301643,-7367728.613,72.17,1.96
20080721,11495.02,11423.94,212846322,-199.6682188,144.2000047,135.73,11448.44083,11252.879,366.8,11322.478,178.8,1.583907219,0.007249284,-7020888.567,71.84,1.98
20080722,11457.9,11387.39,273692293,-164.2839309,145.9565965,229.27,11463.11314,11274.708,547.31,11450.47,313.96,2.781227688,0.039220858,-4187517.207,72.43,1.97
20080723,11603.39,11558.29,264528225,-132.305427,149.759529,139.88,11479.23379,11323.202,669.84,11529.09,400.42,3.565005573,0.034675621,-1967195.543,72.81,2.04
20080724,11630.34,11345.37,241143173,-128.3267652,58.47746347,289.12,11466.85724,11335.228,110,11509.614,-34.93,-0.306828493,0.021916809,-4997575.274,72.85,2.06
20080725,11341.14,11325.1,190924529,-122.0392465,28.29834393,118.71,11457.69845,11362.243,-75.97,11484.438,223.25,2.002701966,0.027746777,-646597.4948,72.81,2.13
20080728,11369.47,11125.13,197553282,-134.8365552,-37.79234015,245.56,11426.59193,11369.832,-365.49,11417.186,-97.94,-0.872204342,0.015141388,-2535874.305,72.69,2
20080729,11133.44,11128.06,206934840,-122.068674,-0.391710707,270.32,11423.82699,11413.334,-69.78,11376.198,297.02,2.675725685,0.013887183,-73899.58389,73.3,2.05
20080730,11397.56,11397.56,208517857,-95.82627503,76.13385028,189.06,11439.05204,11447.775,-18.81,11366.46,528.5,4.780560081,0.011829564,1864765.376,73.3,2.03
20080731,11577.99,11363.69,220202138,-90.58067727,37.00426441,220,11433.23946,11440.911,-254.36,11372.208,415.48,3.789997574,-0.010311771,2842680.881,73.2,2.09
20080801,11379.89,11267.05,189698055,-89.56283655,-17.23464819,158.68,11423.05666,11423.886,-22.96,11363.334,87.04,0.774426832,-0.012297534,4123074.288,73.37,2.04
20080804,11326.32,11221.53,170254857,-91.10871249,-63.25329979,160.64,11409.82745,11405.567,-86.54,11393.948,-162.51,-1.419715445,-0.027438052,3594905.274,73.5,1.97
20080805,11286.02,11286.02,234986070,-64.82757583,60.48727621,331.78,11429.44103,11406.894,484.69,11437.59,119.2,1.036830985,-0.001427911,5441529.56,73.96,1.97
20080806,11603.64,11521.32,180060372,-40.28335109,124.3013258,164.14,11451.02474,11409.263,258.51,11452.066,188.73,1.64580452,0.026320192,7768052.761,74.25,2.01
20080807,11655.42,11416.7,229609745,-38.51447586,38.65036782,239.37,11449.15857,11417.478,-152.26,11462.748,-171.07,-1.474423616,0.005313421,5016491.367,74.54,1.96
20080808,11432.09,11388.04,212831426,-12.5275283,105.8300119,371.92,11476.3168,11453.841,356.3,11544.348,101.94,0.876346887,0.051408177,7256349.95,75.84,2.01
20080811,11729.67,11675.53,183192046,11.80683265,160.3785814,191.58,11505.46282,11518.968,456.03,11643.988,433.07,3.815836776,0.032658171,5761610.4,76.27,1.99
20080812,11781.7,11601.52,173587875,19.57914584,103.3982567,180.83,11518.51113,11543.459,358.32,11649.328,271.78,2.390180367,0.005048757,6352811.32,76.17,1.95
20080813,11632.81,11453.34,182552488,16.70960038,29.79793939,189.13,11519.88721,11538.386,-82.81,11624.706,401.88,3.610431333,0.013434539,4246844.265,76.26,1.98
20080814,11532.07,11450.89,159785423,20.88964766,51.36582263,267.39,11529.03414,11562.177,-40.14,11661.606,218.37,1.915936393,0.024932141,6059674.879,76.71,2.09
20080815,11611.21,11599.73,215043738,27.43413317,75.55790445,110.16,11541.49756,11595.535,228.47,11646.722,76.21,0.6579078,0.032225834,7432836.516,77.12,2.08
20080818,11659.65,11434.12,156291342,17.84928127,-7.136810516,256.31,11535.58255,11615.059,-254.93,11586.13,101.37,0.890928299,-0.011740935,7321918.503,77.18,1.91
20080819,11478.09,11318.5,171578049,-0.30100762,-95.92627865,160.89,11517.76993,11588.337,-433.8,11527.346,22.23,0.196268514,-0.02638282,3311379.462,76.76,1.94
20080820,11345.94,11290.58,144884020,-9.023188284,-86.56519092,163.57,11508.21374,11564.473,-225.04,11504.24,133.28,1.181125738,-0.001224694,999664.6148,76.93,1.98
20080821,11415.23,11315.57,130024520,-14.73449008,-81.37888261,160.64,11500.78482,11564.351,-102.75,11467.096,-185.56,-1.597483421,-0.025916287,-641879.2295,76.08,2.01
20080822,11426.79,11426.79,138785457,-3.258336324,5.399545078,205.34,11512.90626,11553.725,12.13,11460.728,-28.01,-0.240303979,-0.013095011,1152533.59,76.74,2.02
20080825,11626.19,11362.63,148606342,-13.51960234,-66.87831501,265.43,11500.84376,11514.115,-273.65,11442.1,-45.18,-0.395226144,-0.022007358,-1926109.956,76.81,2.01
20080826,11383.56,11340.41,119804850,-19.28145347,-95.16778873,95.83,11492.46531,11491.155,-66.52,11454.964,-321.45,-2.739400323,-0.010412765,-2107914.178,77.27,1.88
20080827,11412.46,11381.77,120584027,-16.4252234,-36.67689777,172.69,11493.42194,11488.11,153.96,11471.98,-279.84,-2.375077977,-0.009764177,865083.3783,77.04,1.98
20080828,11499.87,11499.79,149150646,2.964873925,71.98834803,215.39,11514.54176,11498.035,297.75,11528.974,72.71,0.624523834,0.004718664,1880775.159,77.15,1.99
20080829,11713.23,11543.39,166912953,4.431475832,57.68302004,171.79,11517.30445,11486.4,113.34,11512.072,10.59,0.091823782,0.005558082,2140013.198,77.32,1.94
20080902,11545.63,11471.9,177087403,3.405691278,60.21097867,318.27,11517.26783,11490.153,130.67,11538.206,-142.98,-1.226254085,0.01461936,-41617.30474,78.03,1.96
20080903,11506.01,11416.53,174247411,3.836365016,-10.2011968,137.85,11518.75471,11508.586,120.01,11562.208,53.49,0.465965526,0.010010509,-1754833.782,78.09,2.01
20080904,11532.48,11176.02,229202358,-23.36337909,-141.324426,356.86,11487.27616,11485.666,-314.28,11499.352,-160.32,-1.412691489,-0.021170215,-1922166.251,78.94,1.99
20080905,11185.63,11037.85,198302933,-41.79653041,-191.0857135,207.3,11461.91272,11464.741,-494.22,11400.508,-196.47,-1.720790055,-0.035010139,-943783.6575,78.88,1.97
20080908,11224.87,11224.79,273001029,-32.64579107,-10.64983774,349.7,11466.56294,11453.009,-32.81,11393.946,80.53,0.704536487,0.010815117,1759576.702,79.54,1.92
20080909,11514.73,11230.73,257302583,-47.44135665,-68.15402539,346.77,11444.10266,11437.457,-312.82,11336.708,-397.33,-3.416993032,-0.015959176,-2696418.161,79.51,1.96
20080910,11233.91,11215.26,214262233,-55.44618601,-95.41498861,165.37,11427.41859,11423.062,-248,11283.916,-117.33,-1.030453398,-0.020307742,-2817963.083,80.21,2.12
20080911,11264.44,11098.67,247822897,-47.94026957,-64.74679775,347.01,11428.01778,11416.182,-99.17,11333.012,20.84,0.182600871,-0.024026093,543882.2893,79.87,2
20080912,11429.32,11280.4,238882218,-42.44816673,-22.15484653,179.53,11427.4437,11386.863,233.76,11373.218,-80.52,-0.700021126,-0.010530556,-1283163.376,78.94,2.1
