Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
20080702,21785.3906,21555.5293,254858.26,-646.0531999,-193.1151184,546.4805,22956.70941,22497.96286,-751.5703,22187.92768,-887.8516,-5.754486182,-0.069508936,-401619.3698,71.99,1.6
20080703,21389.4902,21163.5703,272528.48,-702.2826196,-186.9559575,578.5,22793.47797,22289.66071,-1392.3806,21909.45156,-1786.9102,-7.872372589,-0.068201454,-507305.2571,72.73,1.6
20080704,21402.1699,21344.8496,179634.42,-723.8917704,-133.7426671,291.2715,22663.03438,22152.2818,-1031.8496,21703.08164,-1634.1699,-8.15397729,-0.058111429,-398848.614,72.71,1.6
20080707,21402.6992,21402.6992,196457.92,-693.5448296,-77.44577669,513.5117,22591.6083,22069.02789,-129.2891,21677.22382,-1412.7403,-3.880007261,-0.035302742,-264228.1697,72.71,1.6
20080708,21632.6992,21098.8398,201519.68,-717.0873139,-108.6341229,814.2207,22461.05613,21919.61285,-881.1993,21500.98396,-1576.7989,-6.703666321,-0.055005697,-518512.8442,72.96,1.6
20080709,21740.8594,21531.9707,269124.14,-680.6936783,-48.90903703,733.3594,22398.65178,21854.59195,-296.1993,21521.25622,-939.7891,-4.002429958,-0.036639874,-365068.5076,72.59,1.6
20080710,21562.0703,21498.8691,251210.84,-643.1490888,-39.70867976,521.7911,22343.71155,21773.25389,117.3301,21637.05622,-893.1816,-2.82436609,-0.028228532,-121585.1994,72.49,1.6
20080711,21834.6406,21761.0391,216373.24,-577.4654408,11.42154294,464.3418,22328.55338,21746.14198,941.7715,21789.20232,-271.4687,-1.990748473,0.00640992,-968.1786386,71.91,1.6
20080714,22205,21871.5996,149491.95,-532.9915156,25.15906516,488.6895,22298.63981,21743.35311,590.6406,21809.4824,-620.699,-1.96479999,-0.003961128,30452.53142,71.96,1.6
20080715,21644.0391,21077.2402,214014.8,-559.0572241,-108.8039991,937.2207,22191.60454,21650.62908,-738.291,21800.2742,-1280.9004,-3.93596924,-0.024404199,67780.8984,71.7,1.6
20080716,20988.7402,20988.7402,178406.52,-569.2207197,-123.2292985,345.6407,22099.40411,21602.53416,2.6895,21683.8121,-818.8496,-3.974795993,-0.00090757,149545.9805,72.06,1.6
20080717,21825.2402,21672.2695,228994.76,-529.915588,18.46476521,669.0293,22064.67236,21651.7283,-71.0898,21666.40038,-367.2891,-1.661790504,0.01430432,-75608.34881,72.05,1.6
20080718,22010.9395,21677.1504,184207.64,-481.9563289,45.79969026,333.7891,22046.53113,21696.76522,52.4102,21604.32812,169.7403,0.782053018,-0.001773874,-37416.21098,72.17,1.6
20080721,22523.2793,22455.0098,257157.68,-386.3422926,202.1109465,771.33,22092.85201,21758.74921,348.3496,21708.01602,1290.1211,6.073221784,0.05822996,-101266.5551,71.84,1.6
20080722,22430.5898,22393.1406,150588.65,-307.460606,159.8784972,297.5996,22134.2452,21889.41621,513.0196,21978.55822,1103.6602,5.151556466,0.032035096,-107861.5765,72.43,1.6
20080723,22900.7695,22871.0391,258674.56,-193.7276299,191.1743043,607.0703,22229.5124,22022.29024,1959.7813,22360.76838,1221.4903,5.57425696,0.056745061,36562.55938,72.81,1.6
20080724,23330.8906,23062.6191,258970.86,-106.1486095,160.8278877,306.4317,22311.24653,22148.88438,1864.2207,22631.36838,1866.9102,8.797544279,0.039119059,-132990.7388,72.85,1.6
20080725,22751.5098,22542.0801,191765.26,-64.00459057,81.22167907,545.6406,22352.1479,22204.50039,1005.9902,22804.67266,934.9004,4.287391198,0.031936117,-113895.7432,72.81,1.6
