Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20080701,2799.2,2690.18,288515.85,-213.0785648,-128.9490519,119.2,3033.748201,2851.2504,-91.594,2851.3262,-280.77,-9.424604673,-0.097926869,-87262783.76,72.34,8.706
20080702,2702.63,2670.06,279163.65,-213.7322488,-139.7196883,75.875,3001.924277,2822.0828,-152.318,2797.3382,-252.645,-8.557733411,-0.02649729,-109549318.6,71.99,7.73
20080703,2654.48,2617.26,456603.05,-206.9414058,-112.1130567,190.424,2978.942155,2820.8364,-208.925,2753.2792,-82.064,-2.886857313,-0.03125136,-58557369.5,72.73,6.4
20080704,2751.21,2716.02,379050.1,-200.7591624,-81.99753869,67.825,2956.36214,2810.0548,-239.055,2738.4454,-249.421,-8.338289417,-0.017236565,-74675032.66,72.71,6.21
20080707,2747.61,2747.61,527320.24,-182.3869071,21.70776688,149.133,2949.352699,2819.337,66.742,2756.6342,109.687,3.955427114,0.010700845,-35311507.84,72.71,9
20080708,2900.57,2841.07,542480.78,-164.392315,85.61118632,98.07,2944.827775,2824.3296,110.022,2797.333,52.173,1.830844856,-0.02279682,-28155498.96,72.96,9.03
20080709,2927,2927,693569.68,-139.3835911,153.9506571,113.43,2951.522844,2828.8885,316.779,2860.4388,225.185,8.071317637,0.011349111,58665345.17,72.59,9.07
20080710,2970.98,2950.2,616495.54,-121.5038492,126.0770887,106.705,2953.637621,2828.1706,274.131,2903.062,121.813,4.271270357,0.053033431,68110269.77,72.49,9.05
20080711,2962.86,2913.87,442871.01,-107.7246342,76.32693352,74.325,2953.624323,2841.9183,192.886,2945.3912,-16.039,-0.54011787,0.05474153,72578271.53,71.91,9.06
20080714,2927.24,2917.02,345750.43,-93.91634179,72.43347175,79.569,2955.74334,2860.3238,234.022,2964.0134,-5.033,-0.168841229,0.093258989,121495919.2,71.96,8.96
20080715,2987.06,2849.2,472927.59,-91.83119711,29.1600687,148.467,2945.95626,2875.787,-29.784,2954.241,36.958,1.31241919,0.05376205,84235135.43,71.7,9
20080716,2818.76,2702.66,394031.15,-97.71719261,-65.45016572,150.32,2926.874331,2880.3869,-156.245,2900.335,-46.223,-1.655658909,-0.005439374,70394757.52,72.06,9
20080717,2790.26,2705.81,326873.35,-103.4111071,-65.53624176,107.183,2906.988013,2876.1325,-297.058,2849.203,19.721,0.730854853,-0.008674429,68930668.32,72.05,9
20080718,2746.54,2690.07,402034.02,-98.92435517,-43.71035386,127.995,2898.27125,2883.4935,-158.266,2821.5958,115.865,4.291936908,-0.023346005,97429549.57,72.17,9.01
20080721,2792.83,2780.28,451195.77,-86.65641725,16.30681197,135.011,2899.488369,2886.3223,-42.447,2808.6312,150.439,5.449480043,0.003163806,155067664.5,71.84,9.52
