Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20080701,13514.86,13448.35,1214337792,-114.3016494,-120.2297606,128.06,13897.55719,13837.328,-394.27,13628.236,-510.53,-3.653498386,-0.06847245,-12411696.68,72.34,0.60333
20080702,13489.87,13247.05,1365464704,-147.1170425,-133.0365799,242.82,13839.34889,13720.683,-563.19,13519.526,-1068,-7.440242936,-0.059716196,-35771421.01,71.99,0.60333
20080703,13161.78,13118.89,1542018688,-172.8233813,-131.20823,208.06,13784.68709,13634.206,-564.52,13408.142,-1082.97,-7.547686601,-0.048535082,-41740612.57,72.73,0.6025
20080704,13285.49,13135.46,1173963776,-193.1887079,-114.108852,153.09,13732.61117,13563.787,-584.43,13346.848,-1214.93,-8.406179555,-0.044710903,-50940760.79,72.71,0.6025
20080707,13212.8,13169.55,1070972288,-197.1987079,-81.35462064,239.75,13697.12821,13514.044,-184.32,13322.58,-770.13,-5.450252899,-0.035345527,-38095767.52,72.71,0.6025
20080708,13286.5,12984.54,1217872640,-224.1738508,-116.4716777,375.5,13633.88742,13432.398,-448.28,13236.56,-908.98,-6.519687163,-0.057615662,-63107166.44,72.96,0.6025
20080709,13169.89,13038.77,1229265152,-241.2354716,-103.4724696,251.55,13578.48195,13354.619,-411.07,13189.712,-805.34,-5.811594757,-0.055720747,-63000357.63,72.59,0.60167
20080710,12934.31,12930.32,1201250816,-250.6507532,-108.2994576,209.53,13529.78939,13279.108,-219.16,13150.074,-782.35,-5.648915922,-0.035228686,-49868438.54,72.49,0.60167
20080711,13063.5,12918.22,1462564480,-257.3663071,-96.91952859,245.88,13483.11326,13228.641,-225.71,13110.434,-790.23,-5.713915916,-0.032762966,-44165587.55,71.91,0.60167
20080714,13022.29,12969.93,1238215808,-262.0505011,-85.27113328,215.97,13438.07009,13181.519,-227.73,13040.458,-812.16,-5.875714062,-0.033650247,-35211658.84,71.96,0.60167
20080715,12902.13,12715.81,1187817728,-283.1238667,-148.7816889,294.35,13372.97389,13110.655,-605.48,12984.75,-789.8,-5.831209448,-0.040026734,-47616578.22,71.7,0.60083
20080716,12725.12,12671.34,1223962368,-295.9100778,-147.7125422,144.06,13314.67161,13058.098,-272.3,12926.484,-720.58,-5.345001773,-0.038038808,-35774159.61,72.06,0.60083
20080717,12889.8,12852.93,1110703744,-292.41255,-88.92771255,168.94,13274.03146,13020.353,-164.18,12890.632,-575.25,-4.272758334,-0.026434726,-32311446.19,72.05,0.60083
20080718,12976.22,12762.33,1132153984,-293.0607826,-91.04784457,237.31,13229.23799,12976.934,-263.51,12843.434,-482.67,-3.632820703,-0.041642091,-51206423.05,72.17,0.6
